index,accessions,gos
P31946,P31946,"['GO:0019904', 'GO:0019899', 'GO:0043488', 'GO:0005829', 'GO:0035308', 'GO:0016020', 'GO:0050815', 'GO:0000165', 'GO:0035329', 'GO:0005737', 'GO:0061024', 'GO:0042826', 'GO:1900740', 'GO:0005925', 'GO:0051220', 'GO:0005913', 'GO:0070062', 'GO:0043085', 'GO:0048471', 'GO:0045744', 'GO:0051219', 'GO:0030659', 'GO:0098641']"
Q9CQV8,Q9CQV8,"['GO:0005829', 'GO:0019904', 'GO:0006605', 'GO:0030659']"
P62258,P62258,"['GO:1901016', 'GO:0086013', 'GO:0021762', 'GO:0046982', 'GO:0019899', 'GO:0005829', 'GO:0000086', 'GO:0023026', 'GO:0016020', 'GO:0050815', 'GO:0035329', 'GO:0061024', 'GO:0005925', 'GO:0042826', 'GO:0044325', 'GO:1900740', 'GO:0031625', 'GO:0005913', 'GO:0070062', 'GO:0043154', 'GO:0015459', 'GO:0044822', 'GO:1900034', 'GO:0086091', 'GO:1902309', 'GO:0051219', 'GO:0035556', 'GO:0030659', 'GO:0098641', 'GO:0060306']"
Q04917,Q04917,"['GO:0042921', 'GO:0006713', 'GO:0019899', 'GO:0017080', 'GO:0045893', 'GO:0021762', 'GO:0002028', 'GO:0005829', 'GO:0061024', 'GO:0044325', 'GO:1900740', 'GO:0070062', 'GO:0005886', 'GO:0046982', 'GO:0014704', 'GO:0030659', 'GO:0086010', 'GO:0035259', 'GO:2000649']"
P68510,P68510,"['GO:0014704', 'GO:0005829', 'GO:0019904', 'GO:0003779', 'GO:0005737', 'GO:0050774', 'GO:0044325', 'GO:0030659', 'GO:0006886']"
P61981,P61981,"['GO:0000086', 'GO:0045664', 'GO:0016020', 'GO:0048167', 'GO:1900740', 'GO:0061024', 'GO:0070062', 'GO:0005159', 'GO:0030659', 'GO:0044822', 'GO:0005925', 'GO:0005080', 'GO:0005829']"
P31947,P31947,"['GO:0001836', 'GO:0008630', 'GO:0005829', 'GO:0007165', 'GO:0005737', 'GO:0061024', 'GO:1900740', 'GO:0005913', 'GO:0070062', 'GO:0008426', 'GO:0005615', 'GO:0043154', 'GO:0006977', 'GO:0030659', 'GO:0098641', 'GO:0006469']"
P27348,P27348,"['GO:0021762', 'GO:0047485', 'GO:0016020', 'GO:1900740', 'GO:0045892', 'GO:0070062', 'GO:0005737', 'GO:0030659', 'GO:0005925', 'GO:0043234', 'GO:0005829', 'GO:0061024']"
P63104,P63104,"['GO:0043066', 'GO:0043488', 'GO:0005829', 'GO:0051683', 'GO:0030168', 'GO:0007165', 'GO:0008134', 'GO:0061024', 'GO:0005925', 'GO:0005737', 'GO:0072562', 'GO:1900740', 'GO:0031625', 'GO:0005913', 'GO:0005615', 'GO:0044822', 'GO:0019901', 'GO:0070062', 'GO:0005654', 'GO:0030659', 'GO:0005634', 'GO:0098641', 'GO:0090168']"
P30443,P30443,"['GO:0001916', 'GO:0030670', 'GO:0016045', 'GO:0046977', 'GO:0016020', 'GO:0002479', 'GO:0071556', 'GO:0002480', 'GO:0031901', 'GO:0000139', 'GO:0070062', 'GO:0050776', 'GO:0006955', 'GO:0060337', 'GO:0002474', 'GO:0012507', 'GO:0005886', 'GO:0060333']"
P01892,P01892,"['GO:0001916', 'GO:0030670', 'GO:0044822', 'GO:0042605', 'GO:0060337', 'GO:0005794', 'GO:0046977', 'GO:0030881', 'GO:2001187', 'GO:0019731', 'GO:0002479', 'GO:0019885', 'GO:0070971', 'GO:0071556', 'GO:0002726', 'GO:0050690', 'GO:2000568', 'GO:0002486', 'GO:0060333', 'GO:0002480', 'GO:0031901', 'GO:0005797', 'GO:0000139', 'GO:0009986', 'GO:0050776', 'GO:0005102', 'GO:0002474', 'GO:0012507', 'GO:0005886', 'GO:2000566', 'GO:0005783', 'GO:0050830', 'GO:0042608', 'GO:0032729', 'GO:0042612']"
P04439,P04439,"['GO:0030670', 'GO:0046977', 'GO:0016020', 'GO:0002479', 'GO:0071556', 'GO:0002480', 'GO:0031901', 'GO:0000139', 'GO:0050776', 'GO:0002474', 'GO:0012507', 'GO:0005886', 'GO:0060337', 'GO:0060333']"
P13746,P13746,"['GO:0030670', 'GO:0046977', 'GO:0002479', 'GO:0071556', 'GO:0042270', 'GO:0042605', 'GO:0002480', 'GO:0031901', 'GO:0000139', 'GO:0009986', 'GO:0050776', 'GO:0002474', 'GO:0012507', 'GO:0005886', 'GO:0060337', 'GO:0060333']"
P37821,P37821,"['GO:0009693', 'GO:0016847']"
P05534,P05534,"['GO:0030670', 'GO:0046977', 'GO:0002479', 'GO:0071556', 'GO:0042270', 'GO:0002480', 'GO:0031901', 'GO:0000139', 'GO:0070062', 'GO:0050776', 'GO:0002474', 'GO:0012507', 'GO:0005886', 'GO:0060337', 'GO:0060333']"
P01891,P01891,"['GO:0030670', 'GO:0002480', 'GO:0044822', 'GO:0012507', 'GO:0031901', 'GO:0060337', 'GO:0002479', 'GO:0042605', 'GO:0000139', 'GO:0060333', 'GO:0071556', 'GO:0030881', 'GO:0050776', 'GO:0002474']"
P01889,P01889,"['GO:0030670', 'GO:0060337', 'GO:0005794', 'GO:0016020', 'GO:0002479', 'GO:2001198', 'GO:0071556', 'GO:0032655', 'GO:0042270', 'GO:0002480', 'GO:0031901', 'GO:0000139', 'GO:0070062', 'GO:0050776', 'GO:0005783', 'GO:0005102', 'GO:0002474', 'GO:0012507', 'GO:0005886', 'GO:0060333', 'GO:0032675', 'GO:0002667']"
P30460,P30460,"['GO:0030670', 'GO:0051087', 'GO:0046977', 'GO:0016020', 'GO:0002479', 'GO:0071556', 'GO:0002480', 'GO:0031901', 'GO:0000139', 'GO:0050776', 'GO:0002474', 'GO:0012507', 'GO:0005886', 'GO:0060337', 'GO:0060333']"
P30464,P30464,"['GO:0030670', 'GO:0050776', 'GO:0002480', 'GO:0002474', 'GO:0012507', 'GO:0002479', 'GO:0031901', 'GO:0005886', 'GO:0000139', 'GO:0005794', 'GO:0071556', 'GO:0060333', 'GO:0060337', 'GO:0005783']"
P30466,P30466,"['GO:0030670', 'GO:0002480', 'GO:0002474', 'GO:0012507', 'GO:0002479', 'GO:0031901', 'GO:0016020', 'GO:0000139', 'GO:0060333', 'GO:0071556', 'GO:0005886', 'GO:0050776', 'GO:0060337']"
P03989,P03989,"['GO:0030670', 'GO:0042605', 'GO:0016020', 'GO:0016045', 'GO:0002479', 'GO:0071556', 'GO:0002486', 'GO:0002480', 'GO:0006952', 'GO:0031901', 'GO:0000139', 'GO:0070062', 'GO:0009986', 'GO:0050776', 'GO:0006955', 'GO:0002474', 'GO:0012507', 'GO:0005886', 'GO:0060337', 'GO:0060333', 'GO:0042612']"
P30685,P30685,"['GO:0030670', 'GO:0002480', 'GO:0002474', 'GO:0012507', 'GO:0002479', 'GO:0031901', 'GO:0005886', 'GO:0000139', 'GO:0060333', 'GO:0071556', 'GO:0050776', 'GO:0060337']"
P18463,P18463,"['GO:0001916', 'GO:0030670', 'GO:0002480', 'GO:0002474', 'GO:0012507', 'GO:0002479', 'GO:0031901', 'GO:0005886', 'GO:0000139', 'GO:0060333', 'GO:0071556', 'GO:0050776', 'GO:0060337']"
P30475,P30475,"['GO:0030670', 'GO:0002480', 'GO:0002474', 'GO:0070062', 'GO:0002479', 'GO:0031901', 'GO:0012507', 'GO:0000139', 'GO:0060333', 'GO:0071556', 'GO:0005886', 'GO:0050776', 'GO:0060337']"
Q04826,Q04826,"['GO:0030670', 'GO:0002480', 'GO:0002474', 'GO:0012507', 'GO:0002479', 'GO:0031901', 'GO:0005886', 'GO:0000139', 'GO:0060333', 'GO:0071556', 'GO:0050776', 'GO:0060337']"
P30479,P30479,"['GO:0030670', 'GO:0002480', 'GO:0002474', 'GO:0012507', 'GO:0002479', 'GO:0031901', 'GO:0005886', 'GO:0000139', 'GO:0060333', 'GO:0071556', 'GO:0050776', 'GO:0060337']"
